Year,Ireland,Germany,Netherlands
1990,NaN,NaN,NaN
1991,202332.00,1390000.00,298410.00
1992,195727.00,1360000.00,296570.00
1993,194929.00,1330000.00,293098.00
1994,191292.00,1300000.00,291458.00
1995,185661.00,1260000.00,282438.00
1996,179147.00,1170000.00,282413.00
1997,179256.00,1180000.00,284494.00
1998,157451.00,1110000.00,272609.00
1999,156174.00,1160000.00,255613.00
2000,148559.00,1060000.00,267628.00
2001,135541.00,1060000.00,259199.00
2002,137193.00,1010000.00,248236.00
2003,129773.00,987872.00,257849.00
2004,130569.00,957214.00,282651.00
2005,127740.00,977722.00,310328.00
2006,128155.00,944346.00,307815.00
2007,126620.00,946589.00,287479.00
2008,124238.00,749814.00,277933.00
2009,129118.00,704698.00,277109.00
2010,130751.00,693096.00,270182.00
2011,129094.00,687361.00,246019.00
2012,129986.00,651059.00,244637.00
2013,130844.00,610516.00,188736.00
2014,123348.00,605161.00,205329.00
2015,121917.00,592012.00,209609.00
2016,122822.00,564068.00,204563.00
2017,118383.00,554090.00,206817.00
2018,113789.00,544529.00,193802.00
2019,107638.00,530842.00,194979.00
2020,NaN,NaN,NaN
