,Germany(hectares),Germany(mm),Germany(C),Potatoes(Tonnes),Germany
0,11971000.0,734.15,9.81,14471000.0,920378.9310344828
1,11559000.0,604.17,8.73,10200971.0,1390000.0
2,11467000.0,735.03,9.64,10896995.0,1360000.0
3,11676000.0,793.47,8.76,12260248.0,1330000.0
4,11805000.0,789.2,9.94,9668572.0,1300000.0
5,11835000.0,781.44,9.15,9898277.0,1260000.0
6,11835000.0,622.39,7.57,13099568.0,1170000.0
7,11832000.0,665.63,9.18,11659284.0,1180000.0
8,11879000.0,808.89,9.27,11337580.0,1110000.0
9,11822000.0,768.89,9.74,11568439.0,1160000.0
10,11804000.0,757.74,10.09,13192951.0,1060000.0
11,11813000.0,812.38,9.21,11502844.0,1060000.0
12,11791000.0,910.58,9.75,11113856.0,1010000.0
13,11827000.0,568.34,9.57,9915679.0,987872.0
14,11898000.0,731.39,9.14,13043559.0,957214.0
15,11904000.0,718.19,9.26,11624200.0,977722.0
16,11866000.0,700.73,9.82,10030600.0,944346.0
17,11877000.0,885.79,10.09,11643769.0,946589.0
18,11932000.0,720.15,9.76,11369000.0,749814.0
19,11945000.0,751.49,9.52,11683100.0,704698.0
20,11846000.0,789.24,8.19,10143090.0,693096.0
21,11875000.0,677.6,10.03,11837200.0,687361.0
22,11834000.0,726.41,9.45,10665600.0,651059.0
23,11876000.0,741.73,9.07,9669700.0,610516.0
24,11869000.0,713.49,10.64,11607300.0,605161.0
25,11846000.0,655.25,10.32,10370200.0,592012.0
26,11763000.0,713.24,9.86,10772100.0,564068.0
27,11772000.0,814.74,9.91,11720000.0,554090.0
28,11731000.0,571.21,10.74,8920800.0,544529.0
29,11714000.0,676.23,10.54,10602200.0,530842.0
30,11664000.0,661.6,10.79,11715100.0,920378.9310344828
