Year,Production Totals
1990,10116900.00
1991,9882647.00
1992,10719791.00
1993,10792500.00
1994,10189000.00
1995,10745000.00
1996,11616900.00
1997,11414000.00
1998,8656400.00
1999,11563400.00
2000,11865700.00
2001,10566700.00
2002,10895378.00
2003,9996862.00
2004,11060600.00
2005,10364686.00
2006,10071900.00
2007,10614300.00
2008,11006962.00
2009,11147021.00
2010,10662082.00
2011,10967747.00
2012,10494820.00
2013,10275565.00
2014,10773912.00
2015,10352977.00
2016,10006717.00
2017,10897403.00
2018,9478490.00
2019,10504560.00
2020,8198080.00
