Year,Country,Hectares,Precipitation,Temperature,People,Potatoes Tonnes
1990,1,382200.00,1186.73,10.01,144415.00,605000.00
1991,1,370200.00,1070.58,9.51,202332.00,571000.00
1992,1,344200.00,1129.81,9.45,195727.00,638000.00
1993,1,364200.00,1229.93,9.28,194929.00,569000.00
1994,1,355200.00,1309.49,9.49,191292.00,642000.00
1995,1,371200.00,1155.17,10.02,185661.00,618000.00
1996,1,400200.00,1144.33,9.14,179147.00,733000.00
1997,1,376200.00,1147.89,10.19,179256.00,472000.00
1998,1,426200.00,1314.98,10.01,157451.00,482000.00
1999,1,417200.00,1259.47,10.01,156174.00,559000.00
2000,1,391200.00,1284.66,9.63,148559.00,454800.00
2001,1,509200.00,971.09,9.55,135541.00,477600.00
2002,1,518200.00,1451.22,9.91,137193.00,518600.00
2003,1,531230.00,999.65,10.02,129773.00,488200.00
2004,1,521650.00,1114.92,9.90,130569.00,552200.00
2005,1,488690.00,1095.79,10.03,127740.00,409200.00
2006,1,467080.00,1209.52,10.15,128155.00,382900.00
2007,1,4655450.00,1099.56,10.28,126620.00,399000.00
2008,1,485650.00,1348.08,9.65,124238.00,344900.00
2009,1,462590.00,1379.24,9.67,129118.00,336100.00
2010,1,438840.00,1052.34,8.72,130751.00,419600.00
2011,1,459140.00,1169.23,9.77,129094.00,356100.00
2012,1,482610.00,1215.64,9.51,129986.00,232000.00
2013,1,474040.00,1122.51,9.50,130844.00,410100.00
2014,1,465180.00,1352.80,10.10,123348.00,383000.00
2015,1,453000.00,1367.08,9.45,121917.00,360100.00
2016,1,461000.00,1124.15,9.76,122822.00,352000.00
2017,1,461000.00,1174.26,10.00,118383.00,412425.00
2018,1,451000.00,1206.47,9.70,113789.00,273010.00
2019,1,443000.00,1289.40,9.87,107638.00,382370.00
2020,1,444000.00,1351.05,9.79,144415.00,300150.00
1990,2,11971000.00,734.15,9.81,920379.00,14471000.00
1991,2,11559000.00,604.17,8.73,1390000.00,10200971.00
1992,2,11467000.00,735.03,9.64,1360000.00,10896995.00
1993,2,11676000.00,793.47,8.76,1330000.00,12260248.00
1994,2,11805000.00,789.20,9.94,1300000.00,9668572.00
1995,2,11835000.00,781.44,9.15,1260000.00,9898277.00
1996,2,11835000.00,622.39,7.57,1170000.00,13099568.00
1997,2,11832000.00,665.63,9.18,1180000.00,11659284.00
1998,2,11879000.00,808.89,9.27,1110000.00,11337580.00
1999,2,11822000.00,768.89,9.74,1160000.00,11568439.00
2000,2,11804000.00,757.74,10.09,1060000.00,13192951.00
2001,2,11813000.00,812.38,9.21,1060000.00,11502844.00
2002,2,11791000.00,910.58,9.75,1010000.00,11113856.00
2003,2,11827000.00,568.34,9.57,987872.00,9915679.00
2004,2,11898000.00,731.39,9.14,957214.00,13043559.00
2005,2,11904000.00,718.19,9.26,977722.00,11624200.00
2006,2,11866000.00,700.73,9.82,944346.00,10030600.00
2007,2,11877000.00,885.79,10.09,946589.00,11643769.00
2008,2,11932000.00,720.15,9.76,749814.00,11369000.00
2009,2,11945000.00,751.49,9.52,704698.00,11683100.00
2010,2,11846000.00,789.24,8.19,693096.00,10143090.00
2011,2,11875000.00,677.60,10.03,687361.00,11837200.00
2012,2,11834000.00,726.41,9.45,651059.00,10665600.00
2013,2,11876000.00,741.73,9.07,610516.00,9669700.00
2014,2,11869000.00,713.49,10.64,605161.00,11607300.00
2015,2,11846000.00,655.25,10.32,592012.00,10370200.00
2016,2,11763000.00,713.24,9.86,564068.00,10772100.00
2017,2,11772000.00,814.74,9.91,554090.00,11720000.00
2018,2,11731000.00,571.21,10.74,544529.00,8920800.00
2019,2,11714000.00,676.23,10.54,530842.00,10602200.00
2020,2,11664000.00,661.60,10.79,920379.00,11715100.00
1990,3,879000.00,729.29,10.74,258552.00,7036200.00
1991,3,881000.00,657.72,9.52,298410.00,6949201.00
1992,3,887000.00,813.90,10.39,296570.00,7641000.00
1993,3,887000.00,868.94,9.49,293098.00,7698500.00
1994,3,885000.00,888.58,10.55,291458.00,7088000.00
1995,3,882000.00,802.49,10.27,282438.00,7340000.00
1996,3,895000.00,585.78,8.37,282413.00,8081000.00
1997,3,901000.00,673.95,10.11,284494.00,7973000.00
1998,3,906000.00,1020.33,10.21,272609.00,5249400.00
1999,3,914000.00,895.43,10.86,255613.00,8331000.00
2000,3,1022700.00,880.49,10.83,267628.00,8227000.00
2001,3,1008800.00,928.55,10.28,259199.00,7115000.00
2002,3,1015200.00,915.08,10.72,248236.00,7362738.00
2003,3,1091100.00,631.80,10.55,257849.00,6468762.00
2004,3,1127500.00,846.80,10.28,282651.00,7487700.00
2005,3,1111000.00,810.49,10.52,310328.00,6777000.00
2006,3,1069800.00,753.69,10.91,307815.00,6239600.00
2007,3,1059800.00,910.25,11.04,287479.00,6870400.00
2008,3,1066600.00,843.28,10.53,277933.00,6922700.00
2009,3,1054700.00,754.39,10.47,277109.00,7180981.00
2010,3,1022600.00,793.56,9.04,270182.00,6843529.00
2011,3,1006000.00,759.69,10.88,246019.00,7333472.00
2012,3,1011000.00,842.66,10.22,244637.00,6765618.00
2013,3,1038400.00,721.25,9.74,188736.00,6576860.00
2014,3,1045000.00,761.15,11.61,205329.00,7100258.00
2015,3,1042000.00,816.79,10.86,209609.00,6651692.00
2016,3,1028000.00,782.77,10.65,204563.00,6534338.00
2017,3,1037000.00,859.07,10.89,206817.00,7391881.00
2018,3,1021000.00,633.68,11.40,193802.00,6025370.00
2019,3,1011100.00,807.40,11.24,194979.00,6961230.00
2020,3,1004830.00,775.13,11.66,258552.00,7020060.00
